Instancia,Limiar_Densidade,NMPA_Hibrida,NMPA_Comunidades
Cenário 3 - 4 - scoop-A_FA+AA-_12,0.1,16,14
Cenário 3 - 9 - Random-150-150-6-1,0.1,134,121
Cenário 3 - 6 - scoop-B_22X18_50,0.1,10,10
Cenário 3 - 11 - Random-1000-1000-8-5,0.1,907,923
Cenário 3 - 10 - Random-400-400-4-1,0.1,258,239
Cenário 3 - 5 - scoop-A_FA+AA-_13,0.1,28,26
Cenário 3 - 3 - p4050n10,0.1,26,27
Cenário 3 - 1 - exemplo,0.1,8,5
Cenário 3 - 2 - Miller,0.1,16,16
Cenário 3 - 8 - Random-100-50-4-3,0.1,48,40
Cenário 3 - 7 - Random-30-30-6-2,0.1,28,25
Cenário 3 - 4 - scoop-A_FA+AA-_12,0.2,16,14
Cenário 3 - 9 - Random-150-150-6-1,0.2,134,121
Cenário 3 - 6 - scoop-B_22X18_50,0.2,10,10
Cenário 3 - 11 - Random-1000-1000-8-5,0.2,907,923
Cenário 3 - 10 - Random-400-400-4-1,0.2,258,239
Cenário 3 - 5 - scoop-A_FA+AA-_13,0.2,28,26
Cenário 3 - 3 - p4050n10,0.2,26,27
Cenário 3 - 1 - exemplo,0.2,8,5
Cenário 3 - 2 - Miller,0.2,16,16
Cenário 3 - 8 - Random-100-50-4-3,0.2,48,40
Cenário 3 - 7 - Random-30-30-6-2,0.2,28,25
Cenário 3 - 4 - scoop-A_FA+AA-_12,0.3,16,14
Cenário 3 - 9 - Random-150-150-6-1,0.3,134,121
Cenário 3 - 6 - scoop-B_22X18_50,0.3,10,10
Cenário 3 - 11 - Random-1000-1000-8-5,0.3,907,923
Cenário 3 - 10 - Random-400-400-4-1,0.3,258,239
Cenário 3 - 5 - scoop-A_FA+AA-_13,0.3,28,26
Cenário 3 - 3 - p4050n10,0.3,26,27
Cenário 3 - 1 - exemplo,0.3,8,5
Cenário 3 - 2 - Miller,0.3,16,16
Cenário 3 - 8 - Random-100-50-4-3,0.3,48,40
Cenário 3 - 7 - Random-30-30-6-2,0.3,28,25
Cenário 3 - 4 - scoop-A_FA+AA-_12,0.4,16,14
Cenário 3 - 9 - Random-150-150-6-1,0.4,134,122
Cenário 3 - 6 - scoop-B_22X18_50,0.4,10,10
Cenário 3 - 11 - Random-1000-1000-8-5,0.4,907,923
Cenário 3 - 10 - Random-400-400-4-1,0.4,258,239
Cenário 3 - 5 - scoop-A_FA+AA-_13,0.4,28,26
Cenário 3 - 3 - p4050n10,0.4,26,27
Cenário 3 - 1 - exemplo,0.4,8,5
Cenário 3 - 2 - Miller,0.4,16,16
Cenário 3 - 8 - Random-100-50-4-3,0.4,48,40
Cenário 3 - 7 - Random-30-30-6-2,0.4,28,25
Cenário 3 - 4 - scoop-A_FA+AA-_12,0.5,16,14
Cenário 3 - 9 - Random-150-150-6-1,0.5,134,122
Cenário 3 - 6 - scoop-B_22X18_50,0.5,10,10
Cenário 3 - 11 - Random-1000-1000-8-5,0.5,907,923
Cenário 3 - 10 - Random-400-400-4-1,0.5,258,239
Cenário 3 - 5 - scoop-A_FA+AA-_13,0.5,28,27
Cenário 3 - 3 - p4050n10,0.5,26,27
Cenário 3 - 1 - exemplo,0.5,8,5
Cenário 3 - 2 - Miller,0.5,16,16
Cenário 3 - 8 - Random-100-50-4-3,0.5,48,39
Cenário 3 - 7 - Random-30-30-6-2,0.5,28,25
Cenário 3 - 4 - scoop-A_FA+AA-_12,0.6,16,14
Cenário 3 - 9 - Random-150-150-6-1,0.6,134,122
Cenário 3 - 6 - scoop-B_22X18_50,0.6,10,10
Cenário 3 - 11 - Random-1000-1000-8-5,0.6,907,923
Cenário 3 - 10 - Random-400-400-4-1,0.6,258,239
Cenário 3 - 5 - scoop-A_FA+AA-_13,0.6,28,27
Cenário 3 - 3 - p4050n10,0.6,26,27
Cenário 3 - 1 - exemplo,0.6,8,5
Cenário 3 - 2 - Miller,0.6,16,16
Cenário 3 - 8 - Random-100-50-4-3,0.6,48,39
Cenário 3 - 7 - Random-30-30-6-2,0.6,28,25
Cenário 3 - 4 - scoop-A_FA+AA-_12,0.7,16,14
Cenário 3 - 9 - Random-150-150-6-1,0.7,134,122
Cenário 3 - 6 - scoop-B_22X18_50,0.7,10,10
Cenário 3 - 11 - Random-1000-1000-8-5,0.7,907,923
Cenário 3 - 10 - Random-400-400-4-1,0.7,258,239
Cenário 3 - 5 - scoop-A_FA+AA-_13,0.7,28,27
Cenário 3 - 3 - p4050n10,0.7,26,27
Cenário 3 - 1 - exemplo,0.7,8,5
Cenário 3 - 2 - Miller,0.7,16,16
Cenário 3 - 8 - Random-100-50-4-3,0.7,48,39
Cenário 3 - 7 - Random-30-30-6-2,0.7,28,25
Cenário 3 - 4 - scoop-A_FA+AA-_12,0.8,16,14
Cenário 3 - 9 - Random-150-150-6-1,0.8,134,122
Cenário 3 - 6 - scoop-B_22X18_50,0.8,10,10
Cenário 3 - 11 - Random-1000-1000-8-5,0.8,907,923
Cenário 3 - 10 - Random-400-400-4-1,0.8,258,239
Cenário 3 - 5 - scoop-A_FA+AA-_13,0.8,28,27
Cenário 3 - 3 - p4050n10,0.8,26,27
Cenário 3 - 1 - exemplo,0.8,8,5
Cenário 3 - 2 - Miller,0.8,16,16
Cenário 3 - 8 - Random-100-50-4-3,0.8,48,39
Cenário 3 - 7 - Random-30-30-6-2,0.8,28,25
Cenário 3 - 4 - scoop-A_FA+AA-_12,0.9,16,14
Cenário 3 - 9 - Random-150-150-6-1,0.9,134,122
Cenário 3 - 6 - scoop-B_22X18_50,0.9,10,10
Cenário 3 - 11 - Random-1000-1000-8-5,0.9,907,923
Cenário 3 - 10 - Random-400-400-4-1,0.9,258,239
Cenário 3 - 5 - scoop-A_FA+AA-_13,0.9,28,27
Cenário 3 - 3 - p4050n10,0.9,26,27
Cenário 3 - 1 - exemplo,0.9,8,5
Cenário 3 - 2 - Miller,0.9,16,16
Cenário 3 - 8 - Random-100-50-4-3,0.9,48,39
Cenário 3 - 7 - Random-30-30-6-2,0.9,28,25
